interval-query results
<4687.010182, 2706.336040, 3, 1.367900, 4.000000, 2>
<2858.446445, 1930.580111, 1, 2.478000, 4.000000, 4>
<2659.837535, 1937.333195, 3, 2.023000, 3.000000, 2>
<3015.006892, 2127.161947, 1, 1.124000, 3.700000, 3>
<4382.775974, 2748.666998, 1, 2.320400, 3.500000, 2>
skyline results
<100000.000000, 11000000.000000, 195, 1.809900, 6.000000, 563>
<5985.000000, 9060.904329, 15, 1.754300, 7.908000, 1888>
<3739.972548, 3748.916129, 14, 0.456100, 6.000000, 216>
<10000.000000, 9112.958088, 20, 0.848000, 7.200000, 194>
<3217.749476, 2418.757386, 16, 0.187100, 0.000000, 0>
<3605.682588, 3772.321254, 148, 1.258700, 7.146000, 140>
<150.000000, 150.715513, 12, 2.086200, 7.006000, 656>
<3013.287910, 1715.400535, 0, 0.112800, 0.000000, 0>
<2074.862521, 1230.890298, 5, 0.026100, 0.000000, 0>
<189.350710, 220.814261, 2, 0.386000, 6.300000, 95>
<4906.006591, 3908.931428, 1, 0.045400, 0.000000, 0>
<3572.953269, 2233.860495, 0, 0.041200, 0.000000, 0>
<1814.254128, 1603.794838, 70, 0.166400, 5.200000, 40>
<954.630263, 774.959991, 7, 0.028600, 0.000000, 0>
<4040.726833, 2875.150347, 0, 0.051000, 0.000000, 0>
<3654.176609, 3035.622757, 14, 3.114600, 5.300000, 65>
<4394.708778, 4700.860490, 9, 1.508100, 5.100000, 53>
<3220.076951, 3555.109716, 7, 1.861400, 5.500000, 150>
<4595.313633, 5158.350083, 13, 3.457700, 5.600000, 40>
<4857.868272, 4094.384416, 12, 3.814100, 5.300000, 89>
<2091.243662, 1917.231904, 12, 1.376200, 5.700000, 67>
<4426.757414, 4232.729051, 82, 1.131800, 6.100000, 77>
<2330.697942, 1587.052845, 20, 0.045300, 1.000000, 1>
<4145.595451, 2721.418371, 2, 0.014300, 0.000000, 0>
<4042.568354, 5285.450972, 26, 0.402500, 6.500000, 130>
<2656.958355, 1972.121689, 11, 0.352700, 0.000000, 0>
<4975.640359, 3802.314816, 0, 0.014300, 0.000000, 0>
<1127.313393, 834.350237, 10, 0.076500, 1.000000, 1>
<3312.291692, 3140.271003, 23, 1.027400, 5.600000, 54>
<4952.819535, 7710.491181, 410, 6.174900, 5.700000, 20>
<316.608100, 190.453189, 4, 0.007100, 0.000000, 0>
<4596.363046, 3875.084988, 67, 0.718700, 5.109000, 32>
<2914.593062, 1852.637676, 77, 2.142600, 0.000000, 0>
<3639.819834, 3201.808814, 3, 0.078600, 6.200000, 41>
<4267.837030, 3219.799744, 3, 0.028100, 4.900000, 21>
<3641.808912, 3814.485321, 7, 0.175300, 5.500000, 43>
<4257.047650, 4541.485808, 7, 0.315400, 5.980000, 126>
<161.123126, 187.731262, 4, 0.161300, 6.500000, 78>
<4914.250855, 4134.273028, 2, 0.253300, 5.900000, 53>
<30000.000000, 22356.986000, 55, 0.311100, 4.700000, 7>
<4270.175417, 4905.002051, 13, 0.028900, 6.000000, 10>
<3124.816098, 3612.566291, 7, 0.214300, 6.700000, 67>
<2278.626647, 2514.331994, 3, 0.028600, 5.500000, 24>
<3178.179586, 3680.925829, 3, 0.104300, 6.000000, 39>
<3009.298408, 3471.587400, 9, 0.229100, 6.000000, 50>
<1696.647740, 1736.606126, 3, 0.750600, 7.200000, 161>
<2492.020404, 3195.180195, 2, 0.270600, 6.700000, 111>
<387.693575, 314.110114, 5, 0.023900, 4.900000, 24>
<3814.895564, 4462.557377, 12, 1.111000, 5.400000, 71>
<2008.052128, 1747.535722, 10, 1.463200, 5.100000, 56>
<3730.557782, 6660.311149, 12, 5.340300, 5.200000, 46>
<2269.327047, 2666.793329, 12, 0.978100, 5.100000, 43>
<3382.290994, 2716.846273, 11, 1.309600, 5.600000, 60>
<4965.682855, 3775.784335, 6, 1.960000, 4.700000, 53>
<3586.585134, 6138.564803, 15, 5.780200, 5.900000, 70>
<3424.675687, 6828.378607, 12, 7.717000, 5.300000, 46>
<4555.545704, 4174.604672, 6, 2.305300, 5.065000, 62>
<4010.931968, 4802.315016, 13, 3.386300, 6.100000, 68>
<4843.631513, 7211.204067, 13, 9.644800, 6.000000, 48>
<2513.311971, 2678.714832, 14, 1.484900, 5.300000, 46>
<4909.584080, 3979.866546, 15, 0.376900, 5.300000, 69>
<3060.867529, 2374.311236, 15, 0.763400, 4.200000, 28>
<2164.910228, 2299.537692, 28, 1.857400, 5.900000, 94>
<4713.215427, 5591.625060, 27, 0.661000, 5.900000, 61>
<4946.931204, 5555.439177, 24, 3.091300, 6.200000, 88>
<1551.207450, 1735.671957, 31, 1.663600, 5.800000, 76>
<1493.449518, 1726.183761, 13, 0.926100, 5.385000, 48>
<3742.044072, 2585.507802, 12, 0.658800, 4.900000, 32>
<17311.000000, 137365.000000, 59, 1.342300, 5.978000, 68>
<4311.597200, 4782.559157, 72, 0.518500, 6.600000, 150>
<4562.597304, 2710.919380, 88, 0.769300, 3.500000, 21>
<4179.410854, 3906.280658, 66, 0.534700, 5.000000, 14>
<4650.208295, 4549.760878, 12, 0.021400, 5.300000, 3>
<834.091467, 667.905624, 26, 0.717700, 4.500000, 18>
<2754.276289, 2822.730738, 2, 0.570900, 6.603000, 141>
<4913.395750, 5262.401021, 59, 0.588100, 5.800000, 34>
<962.791370, 561.014335, 11, 0.037900, 4.500000, 4>
<2390.269017, 1930.803354, 9, 0.062100, 5.500000, 45>
<3078.271528, 3451.946772, 7, 0.096300, 6.600000, 31>
<1500.744719, 1508.530422, 13, 0.204800, 6.900000, 113>
<4817.964473, 4399.084990, 7, 3.211800, 6.325000, 77>
<4177.733203, 4116.039718, 2, 0.000000, 5.500000, 8>
<435.992416, 508.050073, 1, 0.141200, 6.500000, 128>
<5700.000000, 1800000.000000, 88, 5.980100, 5.200000, 21>
<2612.896645, 1908.852297, 10, 0.000000, 0.000000, 0>
<2868.441834, 2424.401141, 6, 0.295300, 5.600000, 45>
<3626.846629, 2954.182250, 22, 0.101500, 0.000000, 0>
<2431.089390, 2884.862410, 12, 0.401400, 6.600000, 145>
<4184.009260, 5002.107105, 1, 0.436600, 5.800000, 28>
<933.916435, 984.734962, 1, 0.382800, 6.200000, 29>
<2211.014694, 2014.796041, 2, 0.026100, 5.600000, 29>
<1741.962269, 2023.501934, 2, 0.016800, 5.100000, 21>
<2470.035513, 2479.012628, 1, 0.429100, 5.700000, 31>
<4948.992761, 4597.793375, 1, 0.411800, 5.800000, 33>
<1258.697793, 1191.885038, 1, 0.202200, 6.200000, 32>
<2498.026629, 2966.309724, 2, 0.217700, 6.500000, 50>
<3323.006798, 3902.321976, 1, 0.168400, 5.300000, 21>
<3270.415152, 2752.881757, 1, 0.353500, 5.400000, 26>
<4462.849044, 3608.562645, 1, 0.084000, 5.600000, 25>
<2234.272119, 2395.496916, 1, 0.218600, 5.000000, 22>
<1714.456079, 1436.933447, 2, 0.431400, 5.500000, 33>
<2091.964335, 2226.393101, 2, 0.129500, 6.000000, 29>
<4630.153072, 5338.764273, 3, 0.468600, 6.000000, 22>
<738.808343, 841.973421, 2, 0.065400, 5.200000, 25>
<4953.570181, 4368.609046, 1, 0.070500, 5.700000, 27>
<427.986262, 476.163684, 2, 0.040400, 5.300000, 40>
<3732.501481, 2722.466793, 1, 0.007100, 4.500000, 17>
<2763.796454, 2187.422218, 1, 0.114600, 4.900000, 14>
<2662.319038, 2306.328548, 3, 0.239400, 5.200000, 34>
<526.215655, 422.501111, 1, 0.153400, 5.700000, 28>
<4728.216974, 4107.274878, 4, 0.605800, 6.100000, 42>
<3776.056431, 2413.999667, 6, 2.044600, 4.600000, 24>
<23430.000000, 27995.291936, 59, 1.543200, 6.100000, 24>
<4721.356264, 5417.472405, 40, 1.288400, 6.300000, 5>
<3555.805657, 2798.349690, 13, 0.016800, 4.000000, 1>
<3773.138599, 2919.941927, 10, 1.684600, 0.000000, 0>
<4797.836120, 4797.555027, 5, 0.033600, 6.200000, 23>
<1863.734695, 1535.125247, 15, 0.026100, 6.300000, 29>
<4400.269658, 2934.387570, 50, 0.354200, 0.000000, 0>
<2725.480691, 2726.271020, 3, 0.457800, 6.000000, 54>
<4848.654603, 5958.619732, 45, 2.747400, 6.500000, 34>
<4543.242981, 5400.197204, 71, 0.491300, 5.100000, 24>
<1541.087877, 1439.910392, 1, 1.514200, 5.800000, 19>
<158.580860, 162.817909, 1, 0.142100, 5.200000, 18>
<774.246589, 868.211000, 1, 0.920900, 5.300000, 13>
<4116.575037, 2349.952585, 1, 0.716900, 4.800000, 17>
<1455.925201, 924.420105, 2, 0.517000, 4.900000, 22>
<2060.815207, 2359.326591, 2, 0.953200, 5.100000, 21>
<2247.114388, 2464.846764, 1, 2.183100, 5.100000, 27>
<2110.183523, 1548.017284, 4, 0.566600, 4.700000, 20>
<3503.479702, 2617.822362, 1, 1.105800, 4.200000, 13>
<1911.193010, 1407.618881, 1, 0.464300, 4.600000, 14>
<1112.775340, 816.436364, 2, 0.524600, 4.500000, 21>
<809.551194, 554.659760, 1, 1.130900, 4.700000, 11>
<1585.805589, 978.305308, 1, 0.300500, 4.700000, 9>
<1356.276395, 942.623036, 2, 0.496100, 4.000000, 7>
<4773.245183, 5116.874369, 33, 0.916900, 5.750000, 18>
<4470.334100, 3182.768532, 6, 1.214500, 4.800000, 12>
<4978.567024, 3212.435933, 5, 0.592100, 4.900000, 11>
<130.421103, 125.531261, 7, 0.447800, 6.200000, 64>
<2984.802273, 1920.259832, 4, 0.274400, 4.900000, 11>
<2419.079999, 1511.447181, 1, 0.935300, 4.600000, 10>
<3999.342735, 3116.812196, 50, 1.265600, 0.000000, 0>
<1173.525814, 849.463314, 1, 2.339100, 4.700000, 10>
<3926.532689, 4087.889403, 15, 0.857100, 5.000000, 2>
<4238.577968, 3568.442802, 8, 0.021400, 6.200000, 6>
<3575.188973, 4273.792698, 2, 0.277200, 5.400000, 29>
<4409.055072, 3020.979605, 14, 0.307600, 4.200000, 14>
<776.121019, 681.490881, 41, 3.521700, 5.500000, 12>
<4168.660660, 4897.749757, 12, 1.306000, 5.100000, 12>
<3130.386826, 2826.514366, 6, 0.115800, 5.600000, 35>
<3904.195531, 2388.771191, 1, 0.047900, 3.700000, 9>
<3819.922670, 3630.107460, 6, 0.328200, 6.100000, 58>
<4908.614654, 4326.730518, 3, 0.184600, 6.400000, 50>
<3547.495268, 3796.555656, 16, 0.622200, 5.000000, 1>
<2680.326265, 1783.808000, 2, 0.121400, 4.000000, 16>
<3100.781462, 3677.668072, 17, 2.517100, 6.057000, 53>
<4631.527128, 2961.326201, 8, 1.233000, 0.000000, 0>
<4808.393843, 2881.258782, 1, 0.048000, 4.500000, 15>
<3707.889974, 4053.611942, 1, 0.217300, 5.500000, 49>
<3642.580947, 4082.774951, 1, 0.965300, 5.700000, 23>
<2316.355621, 2364.952357, 3, 0.554600, 6.500000, 59>
<2531.971927, 2779.244381, 2, 0.007100, 5.900000, 11>
<3740.853638, 2114.430789, 13, 1.495700, 0.000000, 0>
<4588.192977, 2950.379611, 8, 3.258600, 4.500000, 3>
<2235.731212, 1535.873807, 10, 1.368200, 0.000000, 0>
<1786.231101, 2902.505271, 8, 5.099700, 5.000000, 22>
<5000.000000, 4632.708780, 5, 3.953900, 6.100000, 15>
<2096.369496, 1932.855686, 3, 0.276100, 5.700000, 59>
<4435.581490, 4497.586838, 11, 0.064500, 5.900000, 19>
<3082.931907, 2914.924678, 22, 0.214000, 6.500000, 64>
<2355.114887, 2571.202780, 6, 0.128900, 6.500000, 69>
<4098.506972, 6276.196519, 10, 5.009800, 5.000000, 2>
<748.009657, 795.849516, 5, 0.014300, 5.700000, 27>
<4974.801269, 3565.239679, 2, 0.114000, 3.800000, 6>
<1904.582303, 1151.037781, 5, 0.067600, 0.000000, 0>
<3013.470318, 3411.518091, 5, 0.038900, 5.200000, 4>
<3144.789295, 3890.197196, 14, 0.007100, 6.500000, 16>
<4603.213433, 5193.344126, 22, 1.271800, 5.500000, 2>
<1753.131627, 1412.756788, 13, 0.028600, 4.000000, 1>
<2617.731660, 2766.359579, 4, 0.055700, 6.200000, 82>
<1459.592960, 1633.025967, 1, 1.102600, 5.800000, 38>
<531.350819, 593.109460, 9, 0.174500, 6.100000, 64>
<2674.477578, 2870.959369, 1, 1.456500, 5.572000, 69>
<4444.446783, 3493.799509, 1, 2.236000, 3.800000, 13>
<3233.505723, 3867.921720, 1, 0.251200, 5.300000, 58>
<184.301091, 211.456949, 2, 2.703800, 6.400000, 76>
<373.730682, 368.079741, 5, 0.014300, 5.800000, 47>
<4171.636114, 4357.637829, 5, 2.137000, 5.900000, 40>
